employee_id,job_level,department,start_date,survey_date,tenure_years,comment,_ground_truth_sentiment,_ground_truth_theme
EMP0061,M2,People & HR,1/26/18,11/1/24,6.8,There's a persistent pattern of underrepresented employees leaving and leadership doesn't address it.,negative,culture_inclusion
EMP0062,IC3,Sales,8/5/20,11/1/24,4.2,I've raised a culture concern through the proper channels and received no follow-up.,negative,culture_inclusion
EMP0063,M1,Finance,8/12/20,11/1/24,4.2,"The company is in a transitional phase and the culture feels unsettled. Not bad, just uncertain.",neutral,culture_inclusion
EMP0064,IC5,Marketing,8/14/22,11/1/24,2.2,"Advancement seems to go to people who are well-networked, not people who perform. It doesn't feel merit-based.",negative,growth_development+culture_inclusion
EMP0065,M1,Marketing,12/15/19,11/1/24,4.9,Async-first culture means I can do deep work without constant interruptions.,positive,work_life_balance
EMP0066,IC2,People & HR,8/29/22,11/1/24,2.2,The policy is good on paper but individual managers enforce it very differently.,neutral,work_life_balance
EMP0067,IC3,Sales,10/11/22,11/1/24,2.1,The learning budget exists but I've never felt strongly encouraged to use it.,neutral,growth_development
EMP0068,M2,Sales,10/22/18,11/1/24,6,There's internal competition rather than cooperation. It doesn't serve us well.,negative,team_collaboration
EMP0069,M3,People & HR,11/29/18,11/1/24,5.9,Comp feels about market rate. I'm not complaining but there's no premium for the pace we work at.,neutral,compensation_benefits
EMP0070,IC5,Product,12/23/19,11/1/24,4.9,The inclusion language is polished but the lived experience is very different.,negative,culture_inclusion
EMP0071,IC4,Sales,3/30/22,11/1/24,2.6,"The pay is fair and the culture backs it up — I feel valued in concrete ways, not just in words.",positive,compensation_benefits+culture_inclusion
EMP0072,M3,Product,1/24/19,11/1/24,5.8,"The pace here doesn't allow time for learning. Everything is execution, always.",negative,growth_development
EMP0073,M3,Finance,2/23/19,11/1/24,5.7,This is the most inclusive team I've been on. I feel like I can bring my whole self to work.,positive,culture_inclusion
EMP0074,IC4,Finance,5/16/22,11/1/24,2.5,I discovered I'm paid significantly less than peers doing the same work. That's been demoralizing.,negative,compensation_benefits
EMP0075,IC4,Legal,9/5/22,11/1/24,2.2,Career paths are clearer in some functions than others. Mine is ambiguous.,neutral,growth_development
EMP0076,M2,Customer Success,10/22/18,11/1/24,6,Balance is manageable but growth opportunities are slow to materialize. I'd trade some balance for more challenge.,neutral,work_life_balance+growth_development
EMP0077,IC5,Customer Success,6/24/21,11/1/24,3.4,Direction changes constantly with no explanation. It's impossible to prioritize anything.,negative,management_leadership
EMP0078,IC5,Marketing,5/26/20,11/1/24,4.4,My workload is challenging but sustainable. I rarely feel overwhelmed.,positive,work_life_balance
EMP0079,IC2,People & HR,7/27/23,11/1/24,1.3,Cross-functional work flows well here. Other teams are responsive and easy to work with.,positive,team_collaboration
EMP0080,M2,Product,8/6/19,11/1/24,5.2,There's a stated commitment to inclusion but I haven't seen it translate into structural changes.,neutral,culture_inclusion
EMP0081,M2,Finance,8/9/18,11/1/24,6.2,"Advancement seems to go to people who are well-networked, not people who perform. It doesn't feel merit-based.",negative,growth_development+culture_inclusion
EMP0082,M3,Finance,5/9/21,11/1/24,3.5,My comp hasn't kept up with inflation and conversations about it go nowhere.,negative,compensation_benefits
EMP0083,IC4,Legal,8/15/20,11/1/24,4.2,I've seen the company course-correct quickly when something wasn't working. That takes maturity.,positive,culture_inclusion
EMP0084,M2,People & HR,12/14/20,11/1/24,3.9,My manager has never once asked me about my career goals. I feel completely invisible.,negative,management_leadership
EMP0085,M2,Engineering,7/24/18,11/1/24,6.3,Poor cross-team coordination means everything is a fire drill. The constant urgency is exhausting.,negative,team_collaboration+work_life_balance
EMP0086,M3,Design,5/14/20,11/1/24,4.5,We have strong rituals for alignment and rarely duplicate work or step on each other.,positive,team_collaboration
EMP0087,M1,People & HR,3/31/20,11/1/24,4.6,Healthcare benefits are excellent — one of the best I've seen at any company.,positive,compensation_benefits
EMP0088,M3,Product,4/12/21,11/1/24,3.6,Leadership talks about psychological safety but punishes people who speak up. The hypocrisy is demoralizing.,negative,culture_inclusion+management_leadership
EMP0089,IC2,Marketing,9/9/20,11/1/24,4.1,The flexibility and the culture of respect here make this job sustainable in a way I haven't experienced before.,positive,work_life_balance+culture_inclusion
EMP0090,IC1,Marketing,5/9/21,11/1/24,3.5,My manager is a genuine advocate for my development. She proactively nominated me for a high-visibility project and the growth has been real.,positive,management_leadership+growth_development
EMP0091,M3,Marketing,6/19/17,11/1/24,7.4,My manager gives me autonomy while still being available when I need support. That balance is hard to find.,positive,management_leadership
EMP0092,IC3,Product,2/8/22,11/1/24,2.7,I learn so much just from working alongside my teammates. The collaboration here accelerates my development in a way that's hard to quantify.,positive,team_collaboration+growth_development
EMP0093,M2,Finance,10/7/20,11/1/24,4.1,The company invests in learning — I've used the development budget every year without friction.,positive,growth_development
EMP0094,IC5,Product,1/11/19,11/1/24,5.8,My immediate team is great but the broader culture is harder to read. It depends a lot on who you work with.,neutral,team_collaboration+culture_inclusion
EMP0095,M1,Engineering,5/21/19,11/1/24,5.5,My manager is competent but not particularly invested in my development. I'm mostly self-directed.,neutral,management_leadership
EMP0096,M2,Engineering,2/18/19,11/1/24,5.7,My manager proactively identified a stretch opportunity for me and backed me through it.,positive,growth_development
EMP0097,M2,Design,11/22/20,11/1/24,3.9,"PTO exists in theory, but the actual workload makes it impossible to disconnect.",negative,work_life_balance
EMP0098,M3,Legal,10/12/18,11/1/24,6.1,"I manage my own boundaries pretty well, but I can see how it would be harder for others.",neutral,work_life_balance
EMP0099,IC2,Marketing,10/12/22,11/1/24,2.1,The bonus structure looks good on paper but the targets are set so high they're rarely achievable.,negative,compensation_benefits
EMP0100,M1,Finance,3/19/22,11/1/24,2.6,Comp feels about market rate. I'm not complaining but there's no premium for the pace we work at.,neutral,compensation_benefits
EMP0101,IC5,People & HR,12/15/20,11/1/24,3.9,Async-first culture means I can do deep work without constant interruptions.,positive,work_life_balance
EMP0102,IC4,Engineering,11/17/22,11/1/24,2,Senior leadership does a great job communicating the company direction. I always feel like I know where we're headed.,positive,management_leadership
EMP0103,M3,Customer Success,11/16/18,11/1/24,6,"No promotions, no real raises, and no clarity on what it would take to change that. The investment feels very one-directional.",negative,growth_development+compensation_benefits
EMP0104,IC4,Finance,8/22/21,11/1/24,3.2,My manager has never once asked me about my career goals. I feel completely invisible.,negative,management_leadership
EMP0105,M2,People & HR,10/17/18,11/1/24,6,"I manage my own boundaries pretty well, but I can see how it would be harder for others.",neutral,work_life_balance
EMP0106,IC4,Sales,9/6/22,11/1/24,2.2,I've watched external hires fill senior roles that internal candidates were clearly ready for.,negative,growth_development
EMP0107,IC4,Design,2/22/22,11/1/24,2.7,Decisions feel arbitrary and top-down. We're rarely consulted even when changes directly affect us.,negative,management_leadership
EMP0108,IC5,Legal,4/21/22,11/1/24,2.5,There's a culture of long hours that's never stated explicitly but is very much expected.,negative,work_life_balance
EMP0109,IC1,Sales,11/12/20,11/1/24,4,Culture varies significantly by team. Org-wide initiatives feel disconnected from day-to-day experience.,neutral,culture_inclusion
EMP0110,M3,Design,10/23/20,11/1/24,4,My comp hasn't kept up with inflation and conversations about it go nowhere.,negative,compensation_benefits
EMP0111,M1,Customer Success,5/4/21,11/1/24,3.5,I discovered I'm paid significantly less than peers doing the same work. That's been demoralizing.,negative,compensation_benefits
EMP0112,M2,Product,2/14/19,11/1/24,5.7,"The company walks the walk on DEI — it shows up in hiring, promotions, and how leaders behave.",positive,culture_inclusion
EMP0113,IC5,Design,5/22/22,11/1/24,2.4,Poor cross-team coordination means everything is a fire drill. The constant urgency is exhausting.,negative,team_collaboration+work_life_balance
EMP0114,M2,Marketing,5/10/19,11/1/24,5.5,Direction changes constantly with no explanation. It's impossible to prioritize anything.,negative,management_leadership
EMP0115,IC1,Sales,6/2/21,11/1/24,3.4,"No promotions, no real raises, and no clarity on what it would take to change that. The investment feels very one-directional.",negative,growth_development+compensation_benefits
EMP0116,IC5,Marketing,3/1/19,11/1/24,5.7,My manager is one of the best I've had — always clear on expectations and genuinely invested in my growth.,positive,management_leadership
EMP0117,IC1,Design,7/19/22,11/1/24,2.3,Work-life balance depends entirely on your team and what quarter it is. Officially it's fine.,neutral,work_life_balance
EMP0118,IC5,Marketing,11/26/18,11/1/24,5.9,The values aren't just marketing copy — I see them reflected in how decisions get made.,positive,culture_inclusion
EMP0119,IC5,Marketing,5/12/19,11/1/24,5.5,"Some teams are very collaborative, others are protective of their work. No consistent culture.",neutral,team_collaboration
EMP0120,IC4,Product,9/23/19,11/1/24,5.1,My team is genuinely one of the most collaborative and supportive I've ever worked with.,positive,team_collaboration
EMP0121,IC3,Engineering,2/16/22,11/1/24,2.7,The policy is good on paper but individual managers enforce it very differently.,neutral,work_life_balance
EMP0122,M3,Product,7/11/17,11/1/24,7.3,The policy is good on paper but individual managers enforce it very differently.,neutral,work_life_balance
EMP0123,IC2,Customer Success,12/28/20,11/1/24,3.8,Async-first culture means I can do deep work without constant interruptions.,positive,work_life_balance
EMP0124,IC1,Sales,4/28/24,11/1/24,0.5,My manager gives me autonomy while still being available when I need support. That balance is hard to find.,positive,management_leadership
EMP0125,IC5,Engineering,8/20/19,11/1/24,5.2,The 401k match and financial wellness perks are a real differentiator.,positive,compensation_benefits
EMP0126,IC5,Customer Success,11/6/21,11/1/24,3,I discovered I'm paid significantly less than peers doing the same work. That's been demoralizing.,negative,compensation_benefits
EMP0127,M1,Customer Success,1/31/20,11/1/24,4.8,Tooling and processes for collaboration have improved but there's still friction.,neutral,team_collaboration
EMP0128,M3,Finance,10/9/19,11/1/24,5.1,There's a serious lack of psychological safety on my team. Feedback flows one direction — down.,negative,management_leadership
EMP0129,IC2,Customer Success,7/31/22,11/1/24,2.3,"The pay is fair and the culture backs it up — I feel valued in concrete ways, not just in words.",positive,compensation_benefits+culture_inclusion
EMP0130,IC1,Legal,2/24/21,11/1/24,3.7,The inclusion language is polished but the lived experience is very different.,negative,culture_inclusion
EMP0131,M1,Legal,11/18/18,11/1/24,6,The inclusion language is polished but the lived experience is very different.,negative,culture_inclusion
EMP0132,IC3,Sales,3/28/22,11/1/24,2.6,The culture is good but starting to shift as the company grows. I hope it holds.,neutral,culture_inclusion
EMP0133,IC3,Marketing,2/9/22,11/1/24,2.7,There's a stated commitment to inclusion but I haven't seen it translate into structural changes.,neutral,culture_inclusion
EMP0134,M3,Product,9/23/20,11/1/24,4.1,Leadership talks about psychological safety but punishes people who speak up. The hypocrisy is demoralizing.,negative,culture_inclusion+management_leadership
EMP0135,IC5,Legal,7/15/20,11/1/24,4.3,There's internal competition rather than cooperation. It doesn't serve us well.,negative,team_collaboration
EMP0136,IC3,Legal,9/13/21,11/1/24,3.1,The company invests in learning — I've used the development budget every year without friction.,positive,growth_development
EMP0137,IC5,Product,7/16/20,11/1/24,4.3,The flexible work policy is a genuine differentiator. I can structure my day around my life.,positive,work_life_balance
EMP0138,IC5,Sales,7/29/19,11/1/24,5.3,"Some teams are very collaborative, others are protective of their work. No consistent culture.",neutral,team_collaboration
EMP0139,M3,Legal,6/15/19,11/1/24,5.4,Raises exist but they're modest. Meaningful jumps only seem to happen with a promotion.,neutral,compensation_benefits
EMP0140,IC4,People & HR,6/13/19,11/1/24,5.4,The total comp package is genuinely competitive. I benchmarked it and I'm fairly paid.,positive,compensation_benefits
EMP0141,M3,People & HR,6/7/17,11/1/24,7.4,"The pace here doesn't allow time for learning. Everything is execution, always.",negative,growth_development
EMP0142,M3,Design,3/7/21,11/1/24,3.7,The flexible work policy is a genuine differentiator. I can structure my day around my life.,positive,work_life_balance
EMP0143,IC2,Customer Success,5/24/21,11/1/24,3.4,"No promotions, no real raises, and no clarity on what it would take to change that. The investment feels very one-directional.",negative,growth_development+compensation_benefits
EMP0144,IC3,Finance,6/7/23,11/1/24,1.4,The policy is good on paper but individual managers enforce it very differently.,neutral,work_life_balance
EMP0145,M1,Product,8/4/18,11/1/24,6.2,I've raised concerns about my workload three times and nothing has changed.,negative,work_life_balance
EMP0146,IC1,Customer Success,5/17/21,11/1/24,3.5,I've never felt pressure to answer messages outside of work hours. The team respects boundaries.,positive,work_life_balance
EMP0147,M2,Product,4/30/21,11/1/24,3.5,A few high performers are allowed to behave badly because of their output. It's corrosive.,negative,culture_inclusion
EMP0148,IC5,Design,9/14/22,11/1/24,2.1,My workload is challenging but sustainable. I rarely feel overwhelmed.,positive,work_life_balance
EMP0149,M2,People & HR,1/23/21,11/1/24,3.8,The company invests in learning — I've used the development budget every year without friction.,positive,growth_development
EMP0150,IC3,Design,5/30/23,11/1/24,1.4,The learning budget exists but I've never felt strongly encouraged to use it.,neutral,growth_development
EMP0151,IC3,Customer Success,7/20/22,11/1/24,2.3,Work-life balance depends entirely on your team and what quarter it is. Officially it's fine.,neutral,work_life_balance
EMP0152,IC5,Customer Success,1/25/19,11/1/24,5.8,Balance is manageable but growth opportunities are slow to materialize. I'd trade some balance for more challenge.,neutral,work_life_balance+growth_development
EMP0153,M2,Sales,1/4/18,11/1/24,6.8,We have strong rituals for alignment and rarely duplicate work or step on each other.,positive,team_collaboration
EMP0154,IC2,Customer Success,1/6/23,11/1/24,1.8,My workload is challenging but sustainable. I rarely feel overwhelmed.,positive,work_life_balance
EMP0155,M2,Engineering,5/4/20,11/1/24,4.5,I've been promoted twice in three years and feel like my contributions are recognized.,positive,growth_development
EMP0156,IC5,Customer Success,7/29/21,11/1/24,3.3,The learning budget exists but I've never felt strongly encouraged to use it.,neutral,growth_development
EMP0157,IC3,Sales,4/30/20,11/1/24,4.5,People are genuinely curious and kind here. The culture is a real competitive advantage.,positive,culture_inclusion
EMP0158,IC1,Customer Success,8/3/21,11/1/24,3.2,I learn so much just from working alongside my teammates. The collaboration here accelerates my development in a way that's hard to quantify.,positive,team_collaboration+growth_development
EMP0159,M2,People & HR,11/23/20,11/1/24,3.9,Async-first culture means I can do deep work without constant interruptions.,positive,work_life_balance
EMP0160,IC5,Legal,12/11/21,11/1/24,2.9,Healthcare benefits are excellent — one of the best I've seen at any company.,positive,compensation_benefits
EMP0161,IC2,People & HR,9/19/21,11/1/24,3.1,"No promotions, no real raises, and no clarity on what it would take to change that. The investment feels very one-directional.",negative,growth_development+compensation_benefits
EMP0162,M1,Finance,11/13/21,11/1/24,3,"Advancement seems to go to people who are well-networked, not people who perform. It doesn't feel merit-based.",negative,growth_development+culture_inclusion
EMP0163,M3,Product,4/28/19,11/1/24,5.5,Direction changes constantly with no explanation. It's impossible to prioritize anything.,negative,management_leadership
EMP0164,IC2,People & HR,7/23/20,11/1/24,4.3,Leadership actively role-models the values they espouse. That consistency builds real trust over time.,positive,management_leadership+culture_inclusion
EMP0165,IC4,People & HR,9/23/19,11/1/24,5.1,"I get to work on hard, novel problems every week. My skills are growing faster here than anywhere else.",positive,growth_development
EMP0166,IC2,Finance,7/24/23,11/1/24,1.3,"The pay is fair and the culture backs it up — I feel valued in concrete ways, not just in words.",positive,compensation_benefits+culture_inclusion
EMP0167,IC2,Product,1/11/23,11/1/24,1.8,Poor cross-team coordination means everything is a fire drill. The constant urgency is exhausting.,negative,team_collaboration+work_life_balance
EMP0168,M2,People & HR,8/3/18,11/1/24,6.3,Poor cross-team coordination means everything is a fire drill. The constant urgency is exhausting.,negative,team_collaboration+work_life_balance
EMP0169,M3,Product,12/8/17,11/1/24,6.9,Culture varies significantly by team. Org-wide initiatives feel disconnected from day-to-day experience.,neutral,culture_inclusion
EMP0170,M3,Marketing,11/23/18,11/1/24,5.9,The culture has shifted noticeably since the last round of layoffs. Trust is low.,negative,culture_inclusion
EMP0171,M1,People & HR,1/12/22,11/1/24,2.8,"My manager is fine and my comp is competitive, but I'm not inspired by the direction. Neither strongly positive nor negative, honestly.",neutral,management_leadership+compensation_benefits
EMP0172,IC2,Customer Success,8/17/20,11/1/24,4.2,This is the most inclusive team I've been on. I feel like I can bring my whole self to work.,positive,culture_inclusion
EMP0173,IC4,People & HR,8/27/22,11/1/24,2.2,My manager regularly takes credit for the team's work and it's demoralizing.,negative,management_leadership
EMP0174,IC4,Marketing,7/8/21,11/1/24,3.3,There's a serious lack of psychological safety on my team. Feedback flows one direction — down.,negative,management_leadership
EMP0175,IC3,Sales,2/14/23,11/1/24,1.7,The culture is good but starting to shift as the company grows. I hope it holds.,neutral,culture_inclusion
EMP0176,IC1,Design,10/30/22,11/1/24,2,I haven't taken a real vacation in 18 months because the workload never lets up.,negative,work_life_balance
EMP0177,IC5,Design,7/28/22,11/1/24,2.3,The values aren't just marketing copy — I see them reflected in how decisions get made.,positive,culture_inclusion
EMP0178,M3,Product,11/15/18,11/1/24,6,A few high performers are allowed to behave badly because of their output. It's corrosive.,negative,culture_inclusion
EMP0179,IC4,Legal,11/29/19,11/1/24,4.9,There's a clear leveling framework and I always know what I need to demonstrate to advance.,positive,growth_development
EMP0180,M3,Sales,10/12/17,11/1/24,7.1,Poor cross-team coordination means everything is a fire drill. The constant urgency is exhausting.,negative,team_collaboration+work_life_balance
EMP0181,M2,Finance,1/12/18,11/1/24,6.8,The total comp package is genuinely competitive. I benchmarked it and I'm fairly paid.,positive,compensation_benefits
EMP0182,M1,Product,12/18/18,11/1/24,5.9,Leadership actively role-models the values they espouse. That consistency builds real trust over time.,positive,management_leadership+culture_inclusion
EMP0183,M1,Legal,3/27/20,11/1/24,4.6,The bonus structure looks good on paper but the targets are set so high they're rarely achievable.,negative,compensation_benefits
EMP0184,IC2,Finance,5/29/20,11/1/24,4.4,I have a lot of trust in the direction leadership is taking. Decisions feel thoughtful rather than reactive.,positive,management_leadership
EMP0185,M2,Marketing,5/8/19,11/1/24,5.5,My comp hasn't kept up with inflation and conversations about it go nowhere.,negative,compensation_benefits
EMP0186,IC2,Finance,8/4/22,11/1/24,2.2,"There are busy seasons where balance slips, but it tends to normalize. Not a dealbreaker.",neutral,work_life_balance
EMP0187,IC2,Customer Success,11/1/23,11/1/24,1,My manager doesn't respect boundaries and the expectations for availability are unreasonable. It's affecting my health.,negative,management_leadership+work_life_balance
EMP0188,IC3,People & HR,9/24/20,11/1/24,4.1,My skip-level is approachable and I feel comfortable raising concerns without fear.,positive,management_leadership
EMP0189,M2,Product,11/24/19,11/1/24,4.9,"Equity was a selling point when I joined, but the timeline and vesting make it feel hollow now.",negative,compensation_benefits
EMP0190,IC5,Engineering,7/2/19,11/1/24,5.3,Leadership actively role-models the values they espouse. That consistency builds real trust over time.,positive,management_leadership+culture_inclusion
EMP0191,IC3,Marketing,3/3/20,11/1/24,4.7,"I manage my own boundaries pretty well, but I can see how it would be harder for others.",neutral,work_life_balance
EMP0192,IC5,Product,8/25/19,11/1/24,5.2,My manager gives me autonomy while still being available when I need support. That balance is hard to find.,positive,management_leadership
EMP0193,IC1,Legal,6/3/21,11/1/24,3.4,I haven't taken a real vacation in 18 months because the workload never lets up.,negative,work_life_balance
EMP0194,IC5,Design,12/4/18,11/1/24,5.9,I haven't taken a real vacation in 18 months because the workload never lets up.,negative,work_life_balance
EMP0195,IC3,Design,9/4/20,11/1/24,4.2,My manager doesn't respect boundaries and the expectations for availability are unreasonable. It's affecting my health.,negative,management_leadership+work_life_balance
